Empleado1,Empleado2,similarity
Empleado10287,Empleado7470,1.0
Empleado10288,Empleado3060,1.0
Empleado10289,Empleado3839,1.0
Empleado1029,Empleado14885,1.0
Empleado10290,Empleado10578,1.0
Empleado10291,Empleado12163,1.0
Empleado10292,Empleado8286,1.0
Empleado10293,Empleado5881,1.0
Empleado10294,Empleado74,1.0
Empleado10295,Empleado5529,1.0
Empleado10296,Empleado6461,1.0
Empleado10297,Empleado11174,1.0
Empleado10298,Empleado10563,1.0
Empleado10299,Empleado11603,1.0
Empleado103,Empleado6444,1.0
Empleado1030,Empleado2176,1.0
Empleado10300,Empleado4742,1.0
Empleado10301,Empleado4257,1.0
Empleado10302,Empleado2944,1.0
Empleado10303,Empleado9414,1.0
Empleado10304,Empleado7540,1.0
Empleado10305,Empleado13279,1.0
Empleado10306,Empleado13528,1.0
Empleado10307,Empleado3401,1.0
Empleado10308,Empleado5822,1.0
Empleado10309,Empleado5158,1.0
Empleado1031,Empleado14582,1.0
Empleado10310,Empleado9407,1.0
Empleado10311,Empleado324,1.0
Empleado10312,Empleado3884,1.0
Empleado10313,Empleado324,1.0
Empleado10315,Empleado8357,1.0
Empleado10316,Empleado14556,1.0
Empleado10317,Empleado2542,1.0
Empleado10318,Empleado7672,1.0
Empleado10319,Empleado9132,1.0
Empleado1032,Empleado45,1.0
Empleado10320,Empleado7894,1.0
Empleado10321,Empleado8490,1.0
Empleado10322,Empleado9353,1.0
Empleado10323,Empleado6714,1.0
Empleado10324,Empleado12789,1.0
Empleado10325,Empleado10907,1.0
Empleado10326,Empleado2165,1.0
Empleado10327,Empleado9611,1.0
Empleado10328,Empleado7808,1.0
Empleado10329,Empleado9279,1.0
Empleado1033,Empleado14368,1.0
Empleado10330,Empleado7029,1.0
Empleado10331,Empleado2741,1.0
Empleado10332,Empleado8553,1.0
Empleado10333,Empleado5246,1.0
Empleado10334,Empleado544,1.0
Empleado10335,Empleado13527,1.0
Empleado10336,Empleado4406,1.0
Empleado10337,Empleado7839,1.0
Empleado10338,Empleado14210,1.0
Empleado10339,Empleado12799,1.0
Empleado1034,Empleado10854,1.0
Empleado10340,Empleado10590,1.0
Empleado10341,Empleado13906,1.0
Empleado10342,Empleado5712,1.0
Empleado10343,Empleado8652,1.0
Empleado10344,Empleado8212,1.0
Empleado10345,Empleado4451,1.0
Empleado10346,Empleado13334,1.0
Empleado10347,Empleado6223,1.0
Empleado10348,Empleado2509,1.0
Empleado10349,Empleado10323,1.0
Empleado1035,Empleado14088,1.0
Empleado10350,Empleado1843,1.0
Empleado10351,Empleado4395,1.0
Empleado10352,Empleado5130,1.0
Empleado10353,Empleado7231,1.0
Empleado10354,Empleado7943,1.0
Empleado10355,Empleado14967,1.0
Empleado10356,Empleado5213,1.0
Empleado10357,Empleado7754,1.0
Empleado10358,Empleado7832,1.0
Empleado10359,Empleado9704,1.0
Empleado1036,Empleado1203,1.0
Empleado10360,Empleado7428,1.0
Empleado10361,Empleado8064,1.0
Empleado10362,Empleado2372,1.0
Empleado10363,Empleado6026,1.0
Empleado10364,Empleado5664,1.0
Empleado10365,Empleado8340,1.0
Empleado10366,Empleado10408,1.0
Empleado10367,Empleado4165,1.0
Empleado10368,Empleado10025,1.0
Empleado10369,Empleado7538,1.0
Empleado1037,Empleado617,1.0
Empleado10370,Empleado8756,1.0
Empleado10371,Empleado11409,1.0
Empleado10372,Empleado2023,1.0
Empleado10373,Empleado4942,1.0
Empleado10374,Empleado11486,1.0
Empleado10375,Empleado8953,1.0
Empleado10376,Empleado5644,1.0
Empleado10377,Empleado4859,1.0
Empleado10378,Empleado3382,1.0
Empleado10379,Empleado3265,1.0
Empleado1038,Empleado668,1.0
Empleado10380,Empleado13279,1.0
Empleado10381,Empleado5137,1.0
Empleado10382,Empleado11732,1.0
Empleado10383,Empleado9672,1.0
Empleado10384,Empleado6506,1.0
Empleado10385,Empleado10139,1.0
Empleado10386,Empleado11500,1.0
